year,age,term,difficulty,topic,small_step_num,small_step_num_in_topic,small_step_num_global,small_step,small_step_name,small_step_desc,ss_wr_desc,ss_desc_validated,ss_desc_validated_source,small_step_id,small_step_key,rank,recommendation_num,recommendation_id,video_id,title,video_title,channel,duration,duration_formatted,semantic_score,alignment_score,instruction_score,combined_score,alignment_justification,instruction_justification,run_signature
Year 7,11-12,Summer,,Properties of number,4,4,4,Write a number as a product of prime factors,Write a number as a product of prime factors,Updated May 2026,Updated May 2026,Updated May 2026,baseline,Year 7_11-12_Summer__Properties of number_4_Write a number as a product of prime factors,year-7__11-12__summer__blank__properties-of-number__4__write-a-number-as-a-product-of-prime-factors,2,2,Year 7_11-12_Summer__Properties of number_4_Write a number as a product of prime factors_recommendation_2,EXU4ai9aViE,Prime Factorization | What is Prime Factorization? | Math with Mr. J,Prime Factorization | What is Prime Factorization? | Math with Mr. J,Math_with_Mr._J,00:08:23,00:08:23,0.4336,95.0,85.0,0.641,"The video focuses directly on the target objective of writing a number as a product of prime factors, providing clear explanations and multiple examples that are appropriate for the age group of 11-12. It stays on topic without drifting into broader objectives, ensuring that learners new to the topic can grasp the concept effectively.","The transcript effectively explains the concept of prime factorization through clear definitions and step-by-step examples, which are appropriate for the target age group. The use of a factor tree and multiple examples helps reinforce the concept, although some complex language could be simplified further for better accessibility.",a3c2996e82b632dfc9aee25a14e8ec0aa59c4a23
Year 7,11-12,Summer,,Properties of number,4,4,4,Write a number as a product of prime factors,Write a number as a product of prime factors,Updated May 2026,Updated May 2026,Updated May 2026,baseline,Year 7_11-12_Summer__Properties of number_4_Write a number as a product of prime factors,year-7__11-12__summer__blank__properties-of-number__4__write-a-number-as-a-product-of-prime-factors,3,3,Year 7_11-12_Summer__Properties of number_4_Write a number as a product of prime factors_recommendation_3,W88L2owU3P0,Prime Factorization of 100 | Math with Mr. J,Prime Factorization of 100 | Math with Mr. J,Math_with_Mr._J,00:03:28,00:03:28,0.4769,95.0,75.0,0.6398,"The video focuses directly on the prime factorization of the number 100, aligning well with the target objective of writing a number as a product of prime factors. It stays within the scope of prime factorization without drifting into broader topics, and the content is suitable for the 11-12 age group, providing clear explanations and examples.","The transcript effectively explains the concept of prime factorization by breaking down the number 100 step-by-step, which is appropriate for the target age group. However, while it introduces some key terms like 'prime' and 'composite,' it could benefit from clearer definitions and more engaging prompts to encourage student interaction.",a3c2996e82b632dfc9aee25a14e8ec0aa59c4a23
Year 7,11-12,Summer,,Properties of number,5,5,5,"Square, cube and triangular numbers","Square, cube and triangular numbers",Updated May 2026,Updated May 2026,Updated May 2026,baseline,"Year 7_11-12_Summer__Properties of number_5_Square, cube and triangular numbers",year-7__11-12__summer__blank__properties-of-number__5__square-cube-and-triangular-numbers,1,1,"Year 7_11-12_Summer__Properties of number_5_Square, cube and triangular numbers_recommendation_1",onBB1h5DyfY,How Do I Calculate Square and Cube Numbers? | KS2 Maths Concept for Kids,How Do I Calculate Square and Cube Numbers? | KS2 Maths Concept for Kids,Twinkl_Educational_Publishing,00:04:06,00:04:06,0.4011,90.0,75.0,0.5881,"The video primarily focuses on square and cube numbers, which aligns well with the target objective of recognizing and using these properties of numbers. It provides clear explanations and examples suitable for 11-12 year-olds, although it does not explicitly mention triangular numbers, which is a minor gap in scope.","The transcript effectively explains square and cube numbers with clear definitions and examples, using appropriate language for the target age group. However, while it includes some visual aids like arrays, the explanations could benefit from more structured step-by-step reasoning and additional engagement prompts to enhance student interaction.",a3c2996e82b632dfc9aee25a14e8ec0aa59c4a23
Year 7,11-12,Summer,,Properties of number,5,5,5,"Square, cube and triangular numbers","Square, cube and triangular numbers",Updated May 2026,Updated May 2026,Updated May 2026,baseline,"Year 7_11-12_Summer__Properties of number_5_Square, cube and triangular numbers",year-7__11-12__summer__blank__properties-of-number__5__square-cube-and-triangular-numbers,2,2,"Year 7_11-12_Summer__Properties of number_5_Square, cube and triangular numbers_recommendation_2",mSMTv6zXriY,Triangular Numbers Explained,Triangular Numbers Explained,Minity_Maths,00:02:47,00:02:47,0.4157,85.0,75.0,0.5861,"The video focuses primarily on triangular numbers, which aligns well with the target objective of understanding properties of numbers. However, while it does not drift into broader topics, it could enhance its effectiveness for learners new to the topic by briefly introducing square and cube numbers for context.","The transcript effectively introduces triangular numbers with a clear definition and visual representation, which is suitable for the target age group. However, while it maintains focus on the concept, it could benefit from more explicit step-by-step worked examples and clearer engagement prompts to enhance student interaction.",a3c2996e82b632dfc9aee25a14e8ec0aa59c4a23
Year 7,11-12,Summer,,Properties of number,5,5,5,"Square, cube and triangular numbers","Square, cube and triangular numbers",Updated May 2026,Updated May 2026,Updated May 2026,baseline,"Year 7_11-12_Summer__Properties of number_5_Square, cube and triangular numbers",year-7__11-12__summer__blank__properties-of-number__5__square-cube-and-triangular-numbers,3,3,"Year 7_11-12_Summer__Properties of number_5_Square, cube and triangular numbers_recommendation_3",etMJFIYkTSc,How to make a cube number,How to make a cube number,Minity_Maths,00:00:51,00:00:51,0.4331,85.0,65.0,0.5707,"The transcript content primarily focuses on cube numbers, which aligns well with the target objective of understanding properties of numbers. However, it does not address square or triangular numbers, which are also part of the curriculum objective, leading to a slight gap in scope.","The transcript provides a basic explanation of cube numbers, but it lacks depth in conceptual explanation and does not focus on a single concept throughout. While it introduces the term 'cube number' and gives examples, it does not include pictographic or diagrammatic illustrations, and the language may be slightly complex for 11-12 year-olds without further simplification or engagement prompts.",a3c2996e82b632dfc9aee25a14e8ec0aa59c4a23
Year 7,11-12,Summer,,Properties of number,6,6,6,Square roots and cube roots,Square roots and cube roots,Updated May 2026,Updated May 2026,Updated May 2026,baseline,Year 7_11-12_Summer__Properties of number_6_Square roots and cube roots,year-7__11-12__summer__blank__properties-of-number__6__square-roots-and-cube-roots,1,1,Year 7_11-12_Summer__Properties of number_6_Square roots and cube roots_recommendation_1,i_ywPSapirg,Foundations of Square Roots - Prealgebra for Kids and Teens!,Foundations of Square Roots - Prealgebra for Kids and Teens!,Miacademy_&_MiaPrep_Learning_Channel,00:07:58,00:07:58,0.5284,95.0,85.0,0.6931,"The transcript focuses primarily on square roots, explaining their definition, calculation, and the concept of perfect squares, which aligns directly with the target objective. It avoids drifting into broader topics and is suitable for the age group of 11-12, providing clear examples and practice opportunities.","The transcript effectively explains square roots through clear definitions and relatable examples, such as visual models of squares. It maintains focus on the concept of square roots and includes engaging prompts for students to think critically about the material, though it could benefit from slightly more emphasis on the connection to cube roots.",a3c2996e82b632dfc9aee25a14e8ec0aa59c4a23
Year 7,11-12,Summer,,Properties of number,6,6,6,Square roots and cube roots,Square roots and cube roots,Updated May 2026,Updated May 2026,Updated May 2026,baseline,Year 7_11-12_Summer__Properties of number_6_Square roots and cube roots,year-7__11-12__summer__blank__properties-of-number__6__square-roots-and-cube-roots,2,2,Year 7_11-12_Summer__Properties of number_6_Square roots and cube roots_recommendation_2,S3IEeCyUWWA,Algebra Basics: Exponents In Algebra - Math Antics,Algebra Basics: Exponents In Algebra - Math Antics,mathantics,00:12:14,00:12:14,0.5589,85.0,85.0,0.6899,"The video aligns well with the target objective of teaching square roots and cube roots, providing clear explanations and examples suitable for 11-12 year olds. However, it occasionally drifts into broader algebraic concepts, which may distract from the specific focus on properties of numbers related to roots.","The transcript effectively explains the concepts of square roots and cube roots with a clear focus on the topic, using relatable language appropriate for 11-12 year-olds. It includes worked examples that demonstrate step-by-step reasoning and introduces new terms with definitions, although it could benefit from more pictographic or diagrammatic examples to further engage visual learners.",a3c2996e82b632dfc9aee25a14e8ec0aa59c4a23
Year 7,11-12,Summer,,Properties of number,6,6,6,Square roots and cube roots,Square roots and cube roots,Updated May 2026,Updated May 2026,Updated May 2026,baseline,Year 7_11-12_Summer__Properties of number_6_Square roots and cube roots,year-7__11-12__summer__blank__properties-of-number__6__square-roots-and-cube-roots,3,3,Year 7_11-12_Summer__Properties of number_6_Square roots and cube roots_recommendation_3,87_qIofPwhg,Introduction to cube roots | Numbers and operations | 8th grade | Khan Academy,Introduction to cube roots | Numbers and operations | 8th grade | Khan Academy,Khan_Academy,00:08:00,00:08:00,0.5705,85.0,75.0,0.6713,"The video primarily focuses on square roots and cube roots, which aligns well with the target objective of teaching properties of numbers related to these concepts. It maintains age-appropriate language and examples for 11-12 year olds, although it briefly touches on advanced topics like imaginary numbers, which could distract from the main focus.","The transcript effectively explains square roots and cube roots with a focus on the core concepts, using relatable analogies such as area and volume. However, while it introduces new terms and concepts, the complexity of language and some explanations may be slightly advanced for 11-12-year-olds, and there are limited student engagement prompts to maintain interest.",a3c2996e82b632dfc9aee25a14e8ec0aa59c4a23
Year 7,11-12,Summer,,Properties of number,7,7,7,Explore higher powers and roots (E),Explore higher powers and roots (E),Updated May 2026,Updated May 2026,Updated May 2026,baseline,Year 7_11-12_Summer__Properties of number_7_Explore higher powers and roots (E),year-7__11-12__summer__blank__properties-of-number__7__explore-higher-powers-and-roots-e,1,1,Year 7_11-12_Summer__Properties of number_7_Explore higher powers and roots (E)_recommendation_1,CnfHRaPbb6s,Power of a Power – Raise a Power to Another Power,Power of a Power – Raise a Power to Another Power,Miacademy_&_MiaPrep_Learning_Channel,00:12:35,00:12:35,0.439,90.0,85.0,0.6339,"The video focuses primarily on the power of a power property, which aligns well with the curriculum objective of exploring higher powers and roots. It effectively introduces the concept, provides examples, and engages learners through discovery activities, making it suitable for the 11-12 age group. However, there are moments where it briefly touches on related properties, which could distract from the main objective.","The transcript effectively explains the concept of the power of a power using clear, step-by-step reasoning and relevant examples, which is suitable for 11-12 year-olds. It maintains focus on a single concept throughout and includes student engagement prompts, though it could benefit from more pictographic or diagrammatic illustrations to further aid understanding.",a3c2996e82b632dfc9aee25a14e8ec0aa59c4a23
Year 7,11-12,Summer,,Properties of number,7,7,7,Explore higher powers and roots (E),Explore higher powers and roots (E),Updated May 2026,Updated May 2026,Updated May 2026,baseline,Year 7_11-12_Summer__Properties of number_7_Explore higher powers and roots (E),year-7__11-12__summer__blank__properties-of-number__7__explore-higher-powers-and-roots-e,2,2,Year 7_11-12_Summer__Properties of number_7_Explore higher powers and roots (E)_recommendation_2,B4zejSI8zho,Math Antics - Exponents and Square Roots,Math Antics - Exponents and Square Roots,mathantics,00:11:09,00:11:09,0.4121,95.0,85.0,0.6292,"The video aligns closely with the target objective by focusing on higher powers and roots, specifically explaining exponents and their inverse operations, which are roots. The content is age-appropriate for 11-12-year-olds and remains focused on the specific topic without drifting into unrelated areas.","The transcript effectively explains the concepts of exponents and roots by focusing on their relationship as inverse operations, which is crucial for learners new to the topic. It uses relatable analogies, such as the tree metaphor for roots, and provides clear definitions and worked examples, making the content accessible. However, the language could be simplified in some areas to enhance understanding for the target age group.",a3c2996e82b632dfc9aee25a14e8ec0aa59c4a23
Year 7,11-12,Summer,,Properties of number,7,7,7,Explore higher powers and roots (E),Explore higher powers and roots (E),Updated May 2026,Updated May 2026,Updated May 2026,baseline,Year 7_11-12_Summer__Properties of number_7_Explore higher powers and roots (E),year-7__11-12__summer__blank__properties-of-number__7__explore-higher-powers-and-roots-e,3,3,Year 7_11-12_Summer__Properties of number_7_Explore higher powers and roots (E)_recommendation_3,znrvJFhxaiU,Unit Introduction: Exponents and Radicals - Overview of Powers and Roots,Unit Introduction: Exponents and Radicals - Overview of Powers and Roots,Miacademy_&_MiaPrep_Learning_Channel,00:06:21,00:06:21,0.4334,85.0,85.0,0.6209,"The transcript primarily focuses on teaching exponents, which aligns well with the target objective of exploring higher powers. It maintains a suitable scope without drifting into unrelated topics, and the language and examples are appropriate for the 11-12 age group. However, while it touches on roots, it does not delve deeply into them, which slightly limits its alignment with the objective.","The transcript effectively introduces the concepts of exponents and radicals with clear definitions and step-by-step examples, making it accessible for 11-12 year olds. The use of engaging language and prompts for student interaction helps maintain interest, although some references to the video game could be distracting from the core mathematical concepts.",a3c2996e82b632dfc9aee25a14e8ec0aa59c4a23
Year 7,11-12,Summer,,Properties of number,8,8,8,Highest common factor (HCF),Highest common factor (HCF),Updated May 2026,Updated May 2026,Updated May 2026,baseline,Year 7_11-12_Summer__Properties of number_8_Highest common factor (HCF),year-7__11-12__summer__blank__properties-of-number__8__highest-common-factor-hcf,1,1,Year 7_11-12_Summer__Properties of number_8_Highest common factor (HCF)_recommendation_1,1F9CTS3aH9c,How to find the Highest Common Factor (2026/27 exams),How to find the Highest Common Factor (2026/27 exams),Cognito,00:04:45,00:04:45,0.5394,95.0,75.0,0.6742,"The video focuses directly on finding the highest common factor (HCF), which aligns perfectly with the curriculum objective. It provides clear examples suitable for 11-12 year olds and avoids drifting into broader topics, maintaining a focused approach on HCF throughout.","The transcript provides a clear and focused explanation of the highest common factor (HCF) with step-by-step worked examples, which is appropriate for 11-12 year olds. However, while it introduces new terms like 'prime factors,' it could benefit from clearer definitions and more engaging prompts to maintain student interest throughout the video.",a3c2996e82b632dfc9aee25a14e8ec0aa59c4a23
Year 7,11-12,Summer,,Properties of number,8,8,8,Highest common factor (HCF),Highest common factor (HCF),Updated May 2026,Updated May 2026,Updated May 2026,baseline,Year 7_11-12_Summer__Properties of number_8_Highest common factor (HCF),year-7__11-12__summer__blank__properties-of-number__8__highest-common-factor-hcf,2,2,Year 7_11-12_Summer__Properties of number_8_Highest common factor (HCF)_recommendation_2,5VyPsNKGkfQ,Finding the Highest Common Factor,Finding the Highest Common Factor,Minity_Maths,00:02:51,00:02:51,0.5266,90.0,75.0,0.6571,"The transcript content aligns well with the target objective of teaching the highest common factor (HCF), providing clear explanations and methods for finding it. The focus remains on HCF without drifting into unrelated topics, and the content is suitable for the 11-12 age group, using accessible language and examples.","The transcript provides a clear explanation of the highest common factor (HCF) and introduces two methods for finding it, which is appropriate for the target age group. However, while it mentions factors and prime factorization, it lacks pictographic or diagrammatic examples to enhance understanding and does not engage students with prompts to encourage interaction.",a3c2996e82b632dfc9aee25a14e8ec0aa59c4a23
Year 7,11-12,Summer,,Properties of number,8,8,8,Highest common factor (HCF),Highest common factor (HCF),Updated May 2026,Updated May 2026,Updated May 2026,baseline,Year 7_11-12_Summer__Properties of number_8_Highest common factor (HCF),year-7__11-12__summer__blank__properties-of-number__8__highest-common-factor-hcf,3,3,Year 7_11-12_Summer__Properties of number_8_Highest common factor (HCF)_recommendation_3,kHLwbPwvTtw,HCF/LCM - GCSE Maths,HCF/LCM - GCSE Maths,1st_Class_Maths,00:15:58,00:15:58,0.5409,85.0,75.0,0.655,"The video primarily focuses on the highest common factor (HCF), which aligns well with the curriculum objective. It provides clear examples and explanations suitable for learners aged 11-12, though it does briefly drift into discussing the lowest common multiple (LCM), which is outside the specific target objective.","The transcript effectively explains the concept of the highest common factor (HCF) with clear definitions and step-by-step examples, which are appropriate for 11-12 year-olds. However, it introduces the lowest common multiple (LCM) without sufficient separation from the HCF topic, which may confuse learners. Additionally, while it uses some worked examples, the language could be simplified further to enhance understanding.",a3c2996e82b632dfc9aee25a14e8ec0aa59c4a23
