unique_id,year,term,difficulty,topic,small_step,video_id,video_title,channel,duration_formatted,semantic_scores,instruction_quality_scores,combined_scores
"Year 1_Autumn__Place value within 10_Fewer, more, same",Year 1,Autumn,,Place value within 10,"Fewer, more, same",jut8n12__p0|KS0LpIPj1Vg|2njryh7EYm0,"Introduction to More and Fewer|Counting Within 1,000 - Finding 10 and 100 More and Less Using Place Value and Skip Counting|Year 2 Maths | Compare numbers over 10 - fewer, most, equal to, least, more than, higher, lower","Petitto-Kenny,_Melissa|Miacademy_&_MiaPrep_Learning_Channel|Plytime_Learning",00:05:04|00:09:43|00:04:37,0.7073|0.6732|0.7343,75.0|45.0|30.0,0.7244|0.5839|0.5606
"Year 1_Autumn__Place value within 10_Less than, greater than, equal to",Year 1,Autumn,,Place value within 10,"Less than, greater than, equal to",xvcTLaS6w84|2njryh7EYm0|LVGK_wA0z8s,"Comparing Numbers | Greater Than, Less Than, or Equal | It’s Easy With Twinkl | Twinkl USA|Year 2 Maths | Compare numbers over 10 - fewer, most, equal to, least, more than, higher, lower|Comparing Numbers to the Millions - How to Compare and Order Whole Numbers",Twinkl_Teaching_Resources_-_United_States|Plytime_Learning|Miacademy_&_MiaPrep_Learning_Channel,00:07:32|00:04:37|00:10:07,0.8985|0.8094|0.8042,75.0|40.0|30.0,0.8391|0.6456|0.6025
Year 1_Autumn__Place value within 10_Compare numbers,Year 1,Autumn,,Place value within 10,Compare numbers,bg3FTgTmfkE|xvcTLaS6w84|NtLl_hT9esM,"Comparing & Ordering Three-Digit Numbers|Comparing Numbers | Greater Than, Less Than, or Equal | It’s Easy With Twinkl | Twinkl USA|How to Compare Decimals | Math with Mr. J",Miacademy_&_MiaPrep_Learning_Channel|Twinkl_Teaching_Resources_-_United_States|Math_with_Mr._J,00:10:19|00:07:32|00:11:38,0.8296|0.8156|0.8027,75.0|70.0|10.0,0.7978|0.7693|0.5216
Year 1_Autumn__Place value within 10_Order objects and numbers,Year 1,Autumn,,Place value within 10,Order objects and numbers,AFDxAl7R0HQ|LVGK_wA0z8s|id1vc2etwNU,Comparing and Ordering Numbers - Whole Number and Decimal Comparisons|Comparing Numbers to the Millions - How to Compare and Order Whole Numbers|Comparing and Ordering Decimals and Fractions - Learn To Compare Numbers for Kids,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel,00:12:43|00:10:07|00:11:16,0.7468|0.7420|0.7657,30.0|25.0|20.0,0.5681|0.5452|0.5394
Year 1_Autumn__Place value within 10_The number line,Year 1,Autumn,,Place value within 10,The number line,NZVtJIdLFuU|xvcTLaS6w84|HWNdMnmBwXk,"One More and One Less - Beginning Math for Kids!|Comparing Numbers | Greater Than, Less Than, or Equal | It’s Easy With Twinkl | Twinkl USA|Year 3 Maths | Using a number line to 1000",Miacademy_&_MiaPrep_Learning_Channel|Twinkl_Teaching_Resources_-_United_States|Plytime_Learning,00:08:25|00:07:32|00:05:21,0.8564|0.7944|0.7714,85.0|55.0|40.0,0.8538|0.6967|0.6228
Year 1_Autumn__Addition and subtraction within 10_Introduce parts and wholes,Year 1,Autumn,,Addition and subtraction within 10,Introduce parts and wholes,bYRkptZ97c4|Dyz50pr31Wc|92CYyUwI7dA,Parts and Whole - Learn To Break Numbers Into Parts|Part and Whole - Beginning Math for Kids!|Composing and Decomposing Numbers 1-5 - Kindergarten Math Skills,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel,00:08:26|00:08:04|00:06:52,0.8437|0.8342|0.7642,85.0|85.0|85.0,0.8462|0.8405|0.7985
Year 1_Autumn__Addition and subtraction within 10_Part-whole model,Year 1,Autumn,,Addition and subtraction within 10,Part-whole model,Dyz50pr31Wc|bYRkptZ97c4|aK3FKEZJKec,Part and Whole - Beginning Math for Kids!|Parts and Whole - Learn To Break Numbers Into Parts|Addition and Subtraction Fact Families | EasyTeaching,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|EasyTeaching,00:08:04|00:08:26|00:04:23,0.8635|0.8365|0.8051,85.0|85.0|45.0,0.8581|0.8419|0.6631
Year 1_Autumn__Addition and subtraction within 10_Write number sentences,Year 1,Autumn,,Addition and subtraction within 10,Write number sentences,BmSc0pDbsxY|ygKtziIncjk|oOgm6x6XakM,Addition Sentences - Learn To Read and Solve Addition for Kids|Use number sentence to show complements | Number bonds | 2021|What are Inverse Operation: Addition And Subtraction | The Maths Guy,Miacademy_&_MiaPrep_Learning_Channel|E_Learning|The_Maths_Guy!,00:05:27|00:05:44|00:05:24,0.9137|0.8427|0.8368,85.0|25.0|25.0,0.8882|0.6056|0.6021
Year 1_Autumn__Addition and subtraction within 10_Fact families – addition facts,Year 1,Autumn,,Addition and subtraction within 10,Fact families – addition facts,43wkrua-OaI|AQlokVvYQSg|EZzJBOWSe0Y,Fact Families - Learn Related Addition and Subtraction Facts|Fact Families|Primary Maths Addition and Subtraction Fact Families - Confident Calculator,Miacademy_&_MiaPrep_Learning_Channel|fowl0055|The_Confident_Calculator_with_Ms_Rob,00:06:26|00:04:58|00:05:36,0.9433|0.9073|0.8931,85.0|60.0|60.0,0.9060|0.7844|0.7759
Year 1_Autumn__Addition and subtraction within 10_Number bonds within 10,Year 1,Autumn,,Addition and subtraction within 10,Number bonds within 10,bYRkptZ97c4|FY83JJF2BeI|zwN93FvS7Mk,Parts and Whole - Learn To Break Numbers Into Parts|What numbers make 10 | Make 10 with Frame and Number Bond |kindergarten  | Fun Learn Explore #make10|Maths for kids- 2 Digit addition using number bonds,Miacademy_&_MiaPrep_Learning_Channel|Fun_Learn_Explore|Mathsforkids,00:08:26|00:09:25|00:07:48,0.8854|0.8640|0.8682,85.0|85.0|45.0,0.8712|0.8584|0.7009
Year 1_Autumn__Addition and subtraction within 10_Systematic number bonds within 10,Year 1,Autumn,,Addition and subtraction within 10,Systematic number bonds within 10,FY83JJF2BeI|zwN93FvS7Mk|FQ32vR_DARc,What numbers make 10 | Make 10 with Frame and Number Bond |kindergarten  | Fun Learn Explore #make10|Maths for kids- 2 Digit addition using number bonds|Ultimate Number Bonds to 100,Fun_Learn_Explore|Mathsforkids|Twinkl_Teaches_KS2,00:09:25|00:07:48|00:02:22,0.7897|0.8200|0.7819,85.0|35.0|30.0,0.8138|0.6320|0.5891
Year 1_Autumn__Addition and subtraction within 10_Number bonds to 10,Year 1,Autumn,,Addition and subtraction within 10,Number bonds to 10,FY83JJF2BeI|bYRkptZ97c4|zwN93FvS7Mk,What numbers make 10 | Make 10 with Frame and Number Bond |kindergarten  | Fun Learn Explore #make10|Parts and Whole - Learn To Break Numbers Into Parts|Maths for kids- 2 Digit addition using number bonds,Fun_Learn_Explore|Miacademy_&_MiaPrep_Learning_Channel|Mathsforkids,00:09:25|00:08:26|00:07:48,0.8511|0.8474|0.8572,85.0|85.0|40.0,0.8506|0.8484|0.6743
Year 1_Autumn__Addition and subtraction within 10_Addition – add together,Year 1,Autumn,,Addition and subtraction within 10,Addition – add together,0peKfCVDf6E|tkl9vXr1MaQ|FtjkzSnZ4G4,Counting to Add - Beginning Math for Kids!|Place Value to 20 - Kindergarten Math With Base Ten Blocks|Addition and Subtraction Strategies 1st Grade Math - Commutative and Associative Property,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Math_&_Learning_Videos_4_Kids,00:08:08|00:07:47|00:05:02,0.8038|0.7651|0.7698,85.0|60.0|55.0,0.8223|0.6991|0.6819
Year 1_Autumn__Addition and subtraction within 10_Addition – add more,Year 1,Autumn,,Addition and subtraction within 10,Addition – add more,0peKfCVDf6E|FtjkzSnZ4G4|KS0LpIPj1Vg,"Counting to Add - Beginning Math for Kids!|Addition and Subtraction Strategies 1st Grade Math - Commutative and Associative Property|Counting Within 1,000 - Finding 10 and 100 More and Less Using Place Value and Skip Counting",Miacademy_&_MiaPrep_Learning_Channel|Math_&_Learning_Videos_4_Kids|Miacademy_&_MiaPrep_Learning_Channel,00:08:08|00:05:02|00:09:43,0.7709|0.7670|0.7594,85.0|55.0|25.0,0.8025|0.6802|0.5556
Year 1_Autumn__Addition and subtraction within 10_Addition problems,Year 1,Autumn,,Addition and subtraction within 10,Addition problems,0peKfCVDf6E|FtjkzSnZ4G4|jZKBk6y5Vwk,Counting to Add - Beginning Math for Kids!|Addition and Subtraction Strategies 1st Grade Math - Commutative and Associative Property|Twinkl's 4-Digit Number Addition Worksheet,Miacademy_&_MiaPrep_Learning_Channel|Math_&_Learning_Videos_4_Kids|Twinkl_Teaches_KS2,00:08:08|00:05:02|00:01:32,0.7751|0.7305|0.7340,85.0|65.0|20.0,0.8050|0.6983|0.5204
Year 1_Autumn__Addition and subtraction within 10_Find a part,Year 1,Autumn,,Addition and subtraction within 10,Find a part,92CYyUwI7dA|F8x0qyjYIJQ|Dis_tq3iyI0,Composing and Decomposing Numbers 1-5 - Kindergarten Math Skills|Number Bonds - Compose and Decompose Numbers|Subtraction (number bonds 10),Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Quizmaster,00:06:52|00:05:00|00:04:38,0.8563|0.8450|0.7681,85.0|60.0|45.0,0.8538|0.7470|0.6409
Year 1_Autumn__Addition and subtraction within 10_Subtraction – find a part,Year 1,Autumn,,Addition and subtraction within 10,Subtraction – find a part,F8x0qyjYIJQ|92CYyUwI7dA|Dis_tq3iyI0,Number Bonds - Compose and Decompose Numbers|Composing and Decomposing Numbers 1-5 - Kindergarten Math Skills|Subtraction (number bonds 10),Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Quizmaster,00:05:00|00:06:52|00:04:38,0.8752|0.8141|0.7531,85.0|85.0|40.0,0.8651|0.8284|0.6119
Year 1_Autumn__Addition and subtraction within 10_Fact families – the eight facts,Year 1,Autumn,,Addition and subtraction within 10,Fact families – the eight facts,EZzJBOWSe0Y|4O457iONomY|IwW0GJWKH98,"Primary Maths Addition and Subtraction Fact Families - Confident Calculator|Grade 2 Math  2.10, Fact families to 12|Math Antics - What Is Arithmetic?",The_Confident_Calculator_with_Ms_Rob|JoAnn's_School|mathantics,00:05:36|00:04:46|00:11:23,0.9160|0.9122|0.9077,65.0|35.0|25.0,0.8096|0.6873|0.6446
Year 1_Autumn__Addition and subtraction within 10_Subtraction – take away/cross out (How many left?),Year 1,Autumn,,Addition and subtraction within 10,Subtraction – take away/cross out (How many left?),7CjQlb_RRzE|JpvebNbmpKI|dum5twaK8DM,Subtraction: Identify the Difference (0-10)|How Many Left? | Subtraction | Maths with Mrs B.|Basic Subtraction - Math for Kids!,Meaghan_Kaufenberg|Maths_with_Mrs_B|Miacademy_&_MiaPrep_Learning_Channel,00:08:35|00:03:45|00:03:59,0.7907|0.7771|0.8074,85.0|65.0|55.0,0.8144|0.7263|0.7045
Year 1_Autumn__Addition and subtraction within 10_Subtraction – take away (How many left?),Year 1,Autumn,,Addition and subtraction within 10,Subtraction – take away (How many left?),it3SZq19l0M|JpvebNbmpKI|Kj60wM2BYz8,Subtraction Sentences - Write and Solve Subtraction Problems|How Many Left? | Subtraction | Maths with Mrs B.|Solving Subtraction Problems - Word Problems With Subtraction,Miacademy_&_MiaPrep_Learning_Channel|Maths_with_Mrs_B|Miacademy_&_MiaPrep_Learning_Channel,00:06:14|00:03:45|00:05:20,0.8365|0.8036|0.8011,85.0|70.0|45.0,0.8419|0.7621|0.6607
Year 1_Autumn__Addition and subtraction within 10_Subtraction on a number line,Year 1,Autumn,,Addition and subtraction within 10,Subtraction on a number line,pQxlvjYtw5w|cmam_jsUZBg|NYzqNRuMp_U,Number Line Addition and Subtraction - Kindergarten Math Practice|Subtraction on number line  | subtraction techniques | Grade 1 | KG|Subtract by counting back on a number line,Miacademy_&_MiaPrep_Learning_Channel|Ruch-ed!|Key_Stage_2_Maths,00:06:52|00:05:41|00:04:51,0.8791|0.8659|0.8708,85.0|75.0|65.0,0.8674|0.8195|0.7825
Year 1_Autumn__Addition and subtraction within 10_Add or subtract 1 or 2,Year 1,Autumn,,Addition and subtraction within 10,Add or subtract 1 or 2,FtjkzSnZ4G4|dum5twaK8DM|ybEr-s9SPIg,Addition and Subtraction Strategies 1st Grade Math - Commutative and Associative Property|Basic Subtraction - Math for Kids!|Math. Subtraction & Addition. 1st & 2nd grade. Flashcards.,Math_&_Learning_Videos_4_Kids|Miacademy_&_MiaPrep_Learning_Channel|LUCKYTURIST,00:05:02|00:03:59|00:08:30,0.7228|0.7210|0.7307,60.0|45.0|10.0,0.6737|0.6126|0.4784
Year 1_Spring__Place value within 20_Count within 20,Year 1,Spring,,Place value within 20,Count within 20,LXrkDsLRwjc|W-4MUgGewfI|r_h7YMgMdao,Summer Fun Counting to 20 - Count It! - Circle Time with Mrs. Pixie|How To Teach Counting Up To 20 | Numbers Song for Kids! | Super Simple Learning|Counting for Kids Up To 100 - Starting At Any Number | Math for 1st Grade | Kids Academy,The_Education_Pixie|Super_Simple_Learning|Kids_Academy,00:08:49|00:05:08|00:04:29,0.8366|0.8535|0.7887,85.0|60.0|30.0,0.8420|0.7521|0.5932
Year 1_Spring__Place value within 20_Understand 10,Year 1,Spring,,Place value within 20,Understand 10,tkl9vXr1MaQ|1QG9QGXFvDU|uZaWFa6AubM,Place Value to 20 - Kindergarten Math With Base Ten Blocks|Representing Teen Numbers - Using Ten Frames and Base Ten Blocks|How to Teach Teen Numbers in Kindergarten and First Grade // place value activities,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Susan_Jones_Teaching,00:07:47|00:07:12|00:08:16,0.8421|0.8190|0.8022,85.0|75.0|65.0,0.8453|0.7914|0.7413
"Year 1_Spring__Place value within 20_Understand 11, 12 and 13",Year 1,Spring,,Place value within 20,"Understand 11, 12 and 13",1QG9QGXFvDU|tkl9vXr1MaQ|EjGJHW5sZdg,Representing Teen Numbers - Using Ten Frames and Base Ten Blocks|Place Value to 20 - Kindergarten Math With Base Ten Blocks|Place Value 1: Ones and Tens - Math for Kids!,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel,00:07:12|00:07:47|00:04:04,0.7852|0.7833|0.7952,85.0|85.0|55.0,0.8111|0.8100|0.6971
"Year 1_Spring__Place value within 20_Understand 14, 15 and 16",Year 1,Spring,,Place value within 20,"Understand 14, 15 and 16",tkl9vXr1MaQ|ZpFHpJRfQmQ|hjwWzYW4GTM,Place Value to 20 - Kindergarten Math With Base Ten Blocks|Grade 1-Reading and Writing Numbers from 0 to 100|Place Value Introduction - Counting to 100,Miacademy_&_MiaPrep_Learning_Channel|TeacherBeeLovesEnglish|Forever_Achieving_Learning,00:07:47|00:08:31|00:08:20,0.7983|0.7425|0.7631,85.0|45.0|35.0,0.8190|0.6255|0.5978
"Year 1_Spring__Place value within 20_Understand 17, 18 and 19",Year 1,Spring,,Place value within 20,"Understand 17, 18 and 19",tkl9vXr1MaQ|LXrkDsLRwjc|83893_utWqk,Place Value to 20 - Kindergarten Math With Base Ten Blocks|Summer Fun Counting to 20 - Count It! - Circle Time with Mrs. Pixie|K.7 Count Groups of Tens and Ones Up to 100,Miacademy_&_MiaPrep_Learning_Channel|The_Education_Pixie|TeachMe,00:07:47|00:08:49|00:09:54,0.8353|0.7872|0.7532,85.0|75.0|65.0,0.8412|0.7723|0.7119
Year 1_Spring__Place value within 20_Understand 20,Year 1,Spring,,Place value within 20,Understand 20,tkl9vXr1MaQ|LXrkDsLRwjc|EjGJHW5sZdg,Place Value to 20 - Kindergarten Math With Base Ten Blocks|Summer Fun Counting to 20 - Count It! - Circle Time with Mrs. Pixie|Place Value 1: Ones and Tens - Math for Kids!,Miacademy_&_MiaPrep_Learning_Channel|The_Education_Pixie|Miacademy_&_MiaPrep_Learning_Channel,00:07:47|00:08:49|00:04:04,0.8705|0.7696|0.8065,85.0|85.0|60.0,0.8623|0.8018|0.7239
Year 1_Spring__Place value within 20_1 more and 1 less,Year 1,Spring,,Place value within 20,1 more and 1 less,NZVtJIdLFuU|VUgPsuTDogE|KS0LpIPj1Vg,"One More and One Less - Beginning Math for Kids!|How do I help my child with 10 more and 10 less?|Counting Within 1,000 - Finding 10 and 100 More and Less Using Place Value and Skip Counting",Miacademy_&_MiaPrep_Learning_Channel|Marianne_Strayton|Miacademy_&_MiaPrep_Learning_Channel,00:08:25|00:04:42|00:09:43,0.7750|0.7240|0.7326,85.0|45.0|25.0,0.8050|0.6144|0.5396
Year 1_Spring__Place value within 20_The number line to 20,Year 1,Spring,,Place value within 20,The number line to 20,NZVtJIdLFuU|hXLP00FcGdw|b7QC4MzzzTs,"One More and One Less - Beginning Math for Kids!|Skip Counting - Count by 2s, 5s, and 10s|The Number Line: Part 1 - Learn How To Construct and Use a Number Line",Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel,00:08:25|00:05:05|00:10:42,0.7886|0.7886|0.7717,85.0|60.0|45.0,0.8132|0.7131|0.6430
Year 1_Spring__Place value within 20_Use a number line to 20,Year 1,Spring,,Place value within 20,Use a number line to 20,NZVtJIdLFuU|tkl9vXr1MaQ|xvcTLaS6w84,"One More and One Less - Beginning Math for Kids!|Place Value to 20 - Kindergarten Math With Base Ten Blocks|Comparing Numbers | Greater Than, Less Than, or Equal | It’s Easy With Twinkl | Twinkl USA",Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Twinkl_Teaching_Resources_-_United_States,00:08:25|00:07:47|00:07:32,0.7948|0.7342|0.7218,85.0|75.0|45.0,0.8169|0.7405|0.6131
Year 1_Spring__Place value within 20_Estimate on a number line to 20,Year 1,Spring,,Place value within 20,Estimate on a number line to 20,j3VQGT-dbaQ|B_Hs55wcof8|42HVQFbz888,Estimating numbers|Estimate on a Number Line | Fun and Interactive KS1 Maths Practice|Estimating Numbers on a Number Line,Priyanka_Galrani|Twinkl_Educational_Publishing|Mrs_Tasker,00:04:14|00:04:00|00:08:55,0.8285|0.8150|0.8195,70.0|70.0|60.0,0.7771|0.7690|0.7317
Year 1_Spring__Place value within 20_Compare numbers to 20,Year 1,Spring,,Place value within 20,Compare numbers to 20,bg3FTgTmfkE|xvcTLaS6w84|TiM1RvWMGAg,"Comparing & Ordering Three-Digit Numbers|Comparing Numbers | Greater Than, Less Than, or Equal | It’s Easy With Twinkl | Twinkl USA|Comparing Numbers to 120 - Using Place Value To Compare",Miacademy_&_MiaPrep_Learning_Channel|Twinkl_Teaching_Resources_-_United_States|Miacademy_&_MiaPrep_Learning_Channel,00:10:19|00:07:32|00:06:23,0.7352|0.7495|0.7455,85.0|75.0|65.0,0.7811|0.7497|0.7073
Year 1_Spring__Place value within 20_Order numbers to 20,Year 1,Spring,,Place value within 20,Order numbers to 20,SurtQSIc1is|LVGK_wA0z8s|id1vc2etwNU,How to teach Ordering Numbers // activities for putting numbers in order from least to greatest|Comparing Numbers to the Millions - How to Compare and Order Whole Numbers|Comparing and Ordering Decimals and Fractions - Learn To Compare Numbers for Kids,Susan_Jones_Teaching|Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel,00:09:56|00:10:07|00:11:16,0.7706|0.7680|0.7758,65.0|30.0|25.0,0.7224|0.5808|0.5655
Year 1_Spring__Addition and subtraction within 20_Add by counting on within 20,Year 1,Spring,,Addition and subtraction within 20,Add by counting on within 20,vh8f-bl7wj8|0peKfCVDf6E|VScM8Z8Jls0,Addition Strategies - Adding Numbers to 20|Counting to Add - Beginning Math for Kids!|Addition by Counting on - Grade 1,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Maths_About_You,00:05:52|00:08:08|00:04:56,0.7896|0.7750|0.7772,85.0|85.0|70.0,0.8137|0.8050|0.7463
Year 1_Spring__Addition and subtraction within 20_Add ones using number bonds,Year 1,Spring,,Addition and subtraction within 20,Add ones using number bonds,r6q1DU5tZx4|BB_uj0XGWYA|zwN93FvS7Mk,Number Bonds to 20|Number Bonds - 20|Maths for kids- 2 Digit addition using number bonds,Miss_Martin|Quizmaster|Mathsforkids,00:04:57|00:08:36|00:07:48,0.8489|0.8439|0.8580,65.0|60.0|40.0,0.7694|0.7464|0.6748
Year 1_Spring__Addition and subtraction within 20_Find and make number bonds to 20,Year 1,Spring,,Addition and subtraction within 20,Find and make number bonds to 20,coq0PP9feec|ZvSH1DgweWM|s8EAXqNSvss,Number bonds to 20 | Maths for kids | DoodleLearning|Number Bonds To 20 | KS1 Year 1 Maths |  Home Learning|Number Bonds to 20 | Making 20 with a Number Line | Year One Subtraction | Year One Addition,DoodleLearning|Explore_Planet_English|Primary_School_Made_Easy,00:05:12|00:05:33|00:05:20,0.8776|0.8894|0.8730,75.0|55.0|40.0,0.8266|0.7536|0.6838
Year 1_Spring__Addition and subtraction within 20_Doubles,Year 1,Spring,,Addition and subtraction within 20,Doubles,M8rbvSlZyS0|kGVFpYJSoNk|NUprfk7UWNA,Double Dice - Addition Practice | Math | 1st Grade - Kids Academy|Watch 1st Graders Solve Addition Problems with EASE! Kids Academy|Doubles Doubles (I Can Add Doubles!)    (6-10 Version),Kids_Academy|Kids_Academy|Harry_Kindergarten_Music,00:06:48|00:05:48|00:01:19,0.8433|0.8376|0.7895,60.0|40.0|30.0,0.7460|0.6626|0.5937
Year 1_Spring__Addition and subtraction within 20_Near doubles,Year 1,Spring,,Addition and subtraction within 20,Near doubles,FtjkzSnZ4G4|MU6oislMe58|M8rbvSlZyS0,Addition and Subtraction Strategies 1st Grade Math - Commutative and Associative Property|How to add Three 1-digit Numbers|Double Dice - Addition Practice | Math | 1st Grade - Kids Academy,Math_&_Learning_Videos_4_Kids|Miss_Davis|Kids_Academy,00:05:02|00:05:35|00:06:48,0.8398|0.8041|0.8101,60.0|65.0|60.0,0.7439|0.7424|0.7260
