video_id,channel,title,small_step_num,ss_wr_desc,small_step_id
ripoBT7rweo,Scratch_Garden,Counting by Quarters | Counting Songs | Scratch Garden,253,"Children learn to count in 50s, using their knowledge of the 5 times-table. They understand that each number in 50s is 10 times larger than in 5s. They practice counting forwards and backwards from any multiple of 50 up to 1,000. Number lines, tracks, and real-life contexts like money and measures aid learning.",Year 3_7-8_Autumn__Place value_14_Count in 50s
mKSNQuQrsm0,Scratch_Garden,Counting! | Mini Math Movies | Scratch Garden,4,"Learn to symbolise real-life objects like apples or sweets with counters and cubes, matching numerals to objects. Understand that anything can be represented and counted with maths tools or images. Practice writing numerals corresponding to object sets, using ten frames for structured organisation of manipulatives.",Year 1_5-6_Autumn__Place value within 10_4_Represent objects
zF_dBk8EPDk,Scratch_Garden,Data! | Mini Math Movies | Scratch Garden,228,"In this section, children learn statistics and data representation using tally charts. They understand number representation, use a ""gate"" for groups of 5, and count in 5s to total tallies. Once confident, they draw their own tallies to record object numbers. Mastery of tallies is essential before progressing.",Year 2_6-7_Summer__Statistics_1_Make tally charts
zF_dBk8EPDk,Scratch_Garden,Data! | Mini Math Movies | Scratch Garden,362,"Interpret and construct pictograms, extending Year 2 knowledge. Ask and answer questions about data in horizontal and vertical pictograms. Understand symbol values, including half, quarter, and three-quarter symbols. Recognise the importance of the key in interpreting data. Reflect on symbol choice and its data relationship.",Year 3_7-8_Summer__Statistics_1_Interpret pictograms
xnUkIsdvfGY,Scratch_Garden,Estimating! | Mini Math Movies | Scratch Garden,47,"Children learn to estimate, initially on a number line, exploring the halfway point and using informal measurements for verification. They discuss with peers to understand estimation, overcoming the challenge of inexact answers. Confidence in using a number line is crucial, for instance, reasoning that 4 is less than halfway on a 0-10 line.",Year 1_5-6_Spring__Place value within 20_10_Estimate on a number line to 20
362JVVvgYPE,Scratch_Garden,Fractions! | Mini Math Movies | Scratch Garden,87,"Children should explore and identify halves using various objects and shapes. They need practical experience and diverse representations to understand that a half means ""one of two equal parts"". They should recognise when a shape or object is or isn't a half, without using fractional notation.",Year 1_5-6_Summer__Fractions_1_Recognise a half of an object or a shape
HnlJzWhsNnw,Scratch_Garden,Location & Directions! | Mini Math Movies | Scratch Garden,108,"Children learn terms ""full"", ""half"", ""quarter"", and ""three-quarter"" for turns, applying them practically to objects and shapes. They identify turn size by comparing starting and ending positions, and explore if different turns yield the same direction. This reinforces learning on 2-D and 3-D shapes.",Year 1_5-6_Summer__Position and direction_1_Describe turns
2wUsdsae0ro,Scratch_Garden,Measuring! | Mini Math Movies | Scratch Garden,76,Children begin measuring object lengths and heights using consistent non-standard units like cubes or paper clips. They understand the importance of using equal-sized units for accurate measurements and comparisons. Previous learning is reinforced as they compare lengths measured with the same unit.,Year 1_5-6_Spring__Length and height_2_Measure length using objects
Js45cR_7wFE,Scratch_Garden,Patterns! | Mini Math Movies | Scratch Garden,239,"Explore shape patterns, including turns. Recap simple patterns before introducing patterns with turns. Identify next shapes and their direction. Use terms like quarter, half, three-quarter turns, clockwise, and anticlockwise. Discuss full turns in pattern creation. Practice with cut-out shapes before describing patterns.",Year 2_6-7_Summer__Position and direction_5_Shape patterns with turns
7XuNVVlD98g,Scratch_Garden,Probability! | Mini Math Movies | Scratch Garden,1008,Updated May 2026,"Year 8_12-13_Summer__Tables and probability_1_"""" Probability vocabulary"
Ux_kLd7qAcY,Scratch_Garden,Shapes! | Mini Math Movies | Scratch Garden,36,"Children sort 2-D shapes based on properties like type, size, and colour. They identify how shapes are grouped, discuss similarities and differences, and understand that orientation doesn't change a shape's properties. Exploration of similarities between squares and rectangles is encouraged.",Year 1_5-6_Autumn__Shape_4_Sort 2-D shapes
-iwgJmW1uvg,Scratch_Garden,The Counting Down from 100 Song | Counting Songs | Scratch Garden,95,"Practise counting to 100, building on place value knowledge up to 50. Explore oral counting of numbers 50-100, forwards and backwards, to recognise patterns. Count objects to understand quantity. Use hundred squares to link numerals with number names, reinforcing the concept of ""how many?""",Year 1_5-6_Summer__Place value within 100_1_Count from 50 to 100
fS60rraBhz4,Scratch_Garden,The Counting Down from 20 Song | Counting Songs | Scratch Garden,38,"In the Autumn term, children progress from learning numbers up to 10 to counting to 20. Regular verbal counting exercises, such as tallying students or objects, aid this. Understanding teen numbers can be challenging due to their irregular pattern, but concrete resources and number tracks can help visualise their ""10-and-a-bit"" structure. ""I count, you count"" activities reinforce counting from various starting points.",Year 1_5-6_Spring__Place value within 20_1_Count within 20
3kAWgxcQG8I,Scratch_Garden,The Counting by Eights Song | Counting Songs | Scratch Garden,288,"Children deepen their understanding of the 8 times-table by multiplying and dividing by 8, using arrays and partitioning (e.g., 7x8 = 5x8 + 2x8). They explore commutativity (3x8 = 8x3) and find numbers greater than 96 in the 8 times-table using partitioning (e.g., 10x8 + 6x8 = 128).",Year 3_7-8_Autumn__Multiplication and division A_14_The 8 times-table
pkcIJn5HrMI,Scratch_Garden,The Counting by Fours Song | Counting Songs | Scratch Garden,283,"Leverage knowledge of the 2 times-table to multiply by 4 using arrays and doubling. Link the 4 and 5 times-tables, understanding that 4x7 equals 5x7 minus 7. Apply equal groups concept, using concrete and pictorial representations to connect counting in 4s and multiplying by 4. Explore multiplication's commutativity.",Year 3_7-8_Autumn__Multiplication and division A_9_Multiply by 4
l3R6wdHs9n8,Scratch_Garden,The Counting by Hundreds Song | Counting Songs | Scratch Garden,243,"In Year 2, children learn to count in 100s, understanding that 10 tens equal 1 hundred, and 100 is 10 times larger than 10. They explore multiples of 100 within 1,000 and identify tens in any 3-digit multiple of 100. Base 10 supports this learning process.",Year 3_7-8_Autumn__Place value_4_Hundreds
Ftati8iGQcs,Scratch_Garden,The Counting by Tens Song | Counting Songs | Scratch Garden,79,"Build on children's understanding of counting in 10s up to 50 using ten frames, straws, bead strings, and number grids. Introduce multiplication language without the symbol until Year 2. Focus on multiples up to 50, then explore counting from non-multiples of 10 like 42, 32, 22, 12, 2.",Year 1_5-6_Summer__Multiplication and division_2_Count in 10s
I_cn87hOCDM,Scratch_Garden,The Counting by Threes Song | Counting Songs | Scratch Garden,132,"Children learn to count in 3s using concrete resources and identify patterns. They solve problems abstractly with number lines, number tracks, or hundred squares. Techniques assist with crossing a 10 boundary. By the end, they should count forwards and backwards from any multiple of 3 and spot sequence errors.",Year 2_6-7_Autumn__Place value_16_Count in 3s
6Due3L2QeQM,Scratch_Garden,The Directions Song | The North South East West Song | Scratch Garden,110,"Children learn to describe positions using ""forwards"" and ""backwards"", initially through physical movement. Instructions progress to specific steps, like ""3 steps forwards"". This understanding is reinforced through games and pre-programmable toys. Once confident, they combine ""left"" and ""right"" with these terms for complex movements.",Year 1_5-6_Summer__Position and direction_3_Describe position – forwards and backwards
gRbwFq9665k,Scratch_Garden,The Left vs. Right Song! | Scratch Garden,109,"Introduce terms ""left"" and ""right"", using tools like rhymes, the ""L"" shape with the left hand, and writing hand for memory aid. Engage with games, songs, and daily instructions to reinforce these directions. Teach children to describe object positions and movement directions in relation to left or right.",Year 1_5-6_Summer__Position and direction_2_Describe position – left and right
jHkUPDjum_E,Scratch_Garden,The Money Song | UK Coins Song | Scratch Garden,114,"Children learn the value of different coin denominations, understanding that a 20p coin equals twenty 1p coins or two 10p coins. They explore why we use coins of varying values instead of only pennies. Once confident with pence, they're introduced to £1 and £2 coins, noting £1 equals 100p.",Year 1_5-6_Summer__Money_2_Recognise coins
NySRDZgaH5Y,Hop_Hop_Reading,"What Time Is It, Mr. Crocodile?- Read Aloud | Judy Sierra",102,"Introduce children to time-related vocabulary through daily routines and visual timetables. Encourage use of terms like ""before"", ""after"", ""first"", ""next"", ""finally"", ""morning"", ""afternoon"", ""evening"" to describe and order events. Utilise storybooks to contextualise these concepts in different scenarios.","Year 1_5-6_Summer__Time_1_Before and after, preposition time words"
EkuZQ2HFll8,Ms_Tori's_Read_and_Learn,How Heavy - Kid's Math Storytime Read Aloud,68,"In this unit, children learn about mass, comparing objects' heaviness or lightness through touch and balance scales. They'll understand that heavier objects sit lower on scales, and explore misconceptions about size and shape affecting mass, using examples like balloons and modelling clay.",Year 1_5-6_Spring__Mass and volume_1_Heavier and lighter
